symbol,name,exchange,market_category,test_issue,financial_status,round_lot_size,etf,nextshares,source_file
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ACIU,AC Immune SA - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACLX,"Arcellx, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ACNB,ACNB Corporation - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
ACWI,iShares MSCI ACWI ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
